Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2008/09,8-May,Southern,South Tyrone,Type 3,"1,572.00",0,0,1572.00
2008/09,8-May,Western,Altnagelvin Area,Type 1,"3,927.00",609,2,4538.00
2008/09,8-May,Western,South West Acute,Type 1,"2,078.00",42,1,2121.00
2008/09,8-May,Western,Tyrone County,Type 2,"2,105.00",3,0,2108.00
2008/09,8-Jun,Belfast,Belfast City,Type 1,"3,436.00",327,0,3763.00
2008/09,8-Jun,Belfast,Mater,Type 1,"3,065.00",485,0,3550.00
2008/09,8-Jun,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,662.00",955,1,5618.00
2008/09,8-Jun,Belfast,RBHSC,Type 1,"2,465.00",239,0,2704.00
2008/09,8-Jun,Northern,Antrim Area,Type 1,"4,785.00",807,1,5593.00
2008/09,8-Jun,Northern,Causeway,Type 1,"3,249.00",276,1,3526.00
2008/09,8-Jun,Northern,Mid-Ulster,Type 2,"1,508.00",31,0,1539.00
2008/09,8-Jun,Northern,Whiteabbey,Type 2,"1,786.00",8,0,1794.00
2008/09,8-Jun,South Eastern,Ards MIU,Type 3,850,0,0,850.00
2008/09,8-Jun,South Eastern,Bangor MIU,Type 3,881,0,0,881.00
2008/09,8-Jun,South Eastern,Downe,Type 2,"1,940.00",96,0,2036.00
2008/09,8-Jun,South Eastern,Lagan Valley,Type 2,"2,591.00",95,0,2686.00
2008/09,8-Jun,South Eastern,Ulster,Type 1,"5,656.00",430,1,6087.00
2008/09,8-Jun,Southern,Armagh Community,Type 3,759,0,0,759.00
2008/09,8-Jun,Southern,Craigavon Area,Type 1,"5,604.00",432,0,6036.00
2008/09,8-Jun,Southern,Daisy Hill,Type 1,"2,899.00",102,0,3001.00
2008/09,8-Jun,Southern,South Tyrone,Type 3,"1,521.00",0,0,1521.00
2008/09,8-Jun,Western,Altnagelvin Area,Type 1,"3,489.00",733,0,4222.00
2008/09,8-Jun,Western,South West Acute,Type 1,"2,000.00",18,0,2018.00
2008/09,8-Jun,Western,Tyrone County,Type 2,"1,953.00",2,0,1955.00
2008/09,8-Jul,Belfast,Belfast City,Type 1,"3,403.00",328,1,3732.00
2008/09,8-Jul,Belfast,Mater,Type 1,"2,966.00",390,0,3356.00
2008/09,8-Jul,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,305.00",574,0,5879.00
2008/09,8-Jul,Belfast,RBHSC,Type 1,"2,199.00",101,0,2300.00
2008/09,8-Jul,Northern,Antrim Area,Type 1,"4,553.00",802,5,5360.00
2008/09,8-Jul,Northern,Causeway,Type 1,"3,279.00",330,0,3609.00
2008/09,8-Jul,Northern,Mid-Ulster,Type 2,"1,440.00",18,0,1458.00
2008/09,8-Jul,Northern,Whiteabbey,Type 2,"1,581.00",6,0,1587.00
2008/09,8-Jul,South Eastern,Ards MIU,Type 3,835,0,0,835.00
2008/09,8-Jul,South Eastern,Bangor MIU,Type 3,862,0,0,862.00
2008/09,8-Jul,South Eastern,Downe,Type 2,"1,885.00",83,0,1968.00
2008/09,8-Jul,South Eastern,Lagan Valley,Type 2,"2,408.00",127,0,2535.00
2008/09,8-Jul,South Eastern,Ulster,Type 1,"5,163.00",589,2,5754.00
2008/09,8-Jul,Southern,Armagh Community,Type 3,664,0,0,664.00
2008/09,8-Jul,Southern,Craigavon Area,Type 1,"5,351.00",389,0,5740.00
2008/09,8-Jul,Southern,Daisy Hill,Type 1,"2,804.00",138,0,2942.00
2008/09,8-Jul,Southern,South Tyrone,Type 3,"1,314.00",0,0,1314.00
2008/09,8-Jul,Western,Altnagelvin Area,Type 1,"3,619.00",526,0,4145.00
2008/09,8-Jul,Western,South West Acute,Type 1,"2,048.00",35,0,2083.00
2008/09,8-Jul,Western,Tyrone County,Type 2,"1,668.00",7,0,1675.00
2008/09,8-Aug,Belfast,Belfast City,Type 1,"3,087.00",355,0,3442.00
2008/09,8-Aug,Belfast,Mater,Type 1,"3,155.00",282,0,3437.00
2008/09,8-Aug,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,707.00",415,0,5122.00
2008/09,8-Aug,Belfast,RBHSC,Type 1,"1,959.00",140,0,2099.00
2008/09,8-Aug,Northern,Antrim Area,Type 1,"4,286.00","1,032.00",0,5318.00
2008/09,8-Aug,Northern,Causeway,Type 1,"3,388.00",324,0,3712.00
2008/09,8-Aug,Northern,Mid-Ulster,Type 2,"1,485.00",11,0,1496.00
2008/09,8-Aug,Northern,Whiteabbey,Type 2,"1,715.00",18,0,1733.00
2008/09,8-Aug,South Eastern,Ards MIU,Type 3,756,0,0,756.00
2008/09,8-Aug,South Eastern,Bangor MIU,Type 3,890,0,0,890.00
2008/09,8-Aug,South Eastern,Downe,Type 2,"1,879.00",92,0,1971.00
2008/09,8-Aug,South Eastern,Lagan Valley,Type 2,"2,494.00",110,0,2604.00
2008/09,8-Aug,South Eastern,Ulster,Type 1,"5,317.00",512,3,5832.00
2008/09,8-Aug,Southern,Armagh Community,Type 3,632,0,0,632.00
2008/09,8-Aug,Southern,Craigavon Area,Type 1,"5,254.00",326,0,5580.00
2008/09,8-Aug,Southern,Daisy Hill,Type 1,"2,785.00",52,0,2837.00
2008/09,8-Aug,Southern,South Tyrone,Type 3,"1,288.00",0,0,1288.00
2008/09,8-Aug,Western,Altnagelvin Area,Type 1,"3,765.00",408,0,4173.00
2008/09,8-Aug,Western,South West Acute,Type 1,"1,979.00",35,0,2014.00
2008/09,8-Aug,Western,Tyrone County,Type 2,"1,794.00",3,0,1797.00
2008/09,8-Sep,Belfast,Belfast City,Type 1,"3,376.00",335,0,3711.00
2008/09,8-Sep,Belfast,Mater,Type 1,"2,996.00",536,0,3532.00
2008/09,8-Sep,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"5,112.00",830,1,5943.00
2008/09,8-Sep,Belfast,RBHSC,Type 1,"2,436.00",210,0,2646.00
2008/09,8-Sep,Northern,Antrim Area,Type 1,"4,514.00",822,0,5336.00
2008/09,8-Sep,Northern,Causeway,Type 1,"3,029.00",235,0,3264.00
2008/09,8-Sep,Northern,Mid-Ulster,Type 2,"1,447.00",10,0,1457.00
2008/09,8-Sep,Northern,Whiteabbey,Type 2,"1,840.00",10,0,1850.00
2008/09,8-Sep,South Eastern,Ards MIU,Type 3,830,0,0,830.00
2008/09,8-Sep,South Eastern,Bangor MIU,Type 3,973,0,0,973.00
2008/09,8-Sep,South Eastern,Downe,Type 2,"1,755.00",82,0,1837.00
2008/09,8-Sep,South Eastern,Lagan Valley,Type 2,"2,532.00",74,0,2606.00
2008/09,8-Sep,South Eastern,Ulster,Type 1,"5,290.00",616,0,5906.00
2008/09,8-Sep,Southern,Armagh Community,Type 3,686,0,0,686.00
2008/09,8-Sep,Southern,Craigavon Area,Type 1,"5,373.00",454,0,5827.00
2008/09,8-Sep,Southern,Daisy Hill,Type 1,"2,705.00",100,0,2805.00
2008/09,8-Sep,Southern,South Tyrone,Type 3,"1,308.00",0,0,1308.00
2008/09,8-Sep,Western,Altnagelvin Area,Type 1,"3,819.00",571,0,4390.00
2008/09,8-Sep,Western,South West Acute,Type 1,"1,849.00",30,0,1879.00
2008/09,8-Sep,Western,Tyrone County,Type 2,"1,742.00",8,0,1750.00
2008/09,8-Oct,Belfast,Belfast City,Type 1,"3,325.00",662,0,3987.00
2008/09,8-Oct,Belfast,Mater,Type 1,"2,894.00",602,0,3496.00
2008/09,8-Oct,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,975.00",800,0,5775.00
2008/09,8-Oct,Belfast,RBHSC,Type 1,"2,172.00",345,0,2517.00
2008/09,8-Oct,Northern,Antrim Area,Type 1,"4,472.00",908,0,5380.00
2008/09,8-Oct,Northern,Causeway,Type 1,"2,858.00",272,0,3130.00
2008/09,8-Oct,Northern,Mid-Ulster,Type 2,"1,484.00",25,0,1509.00
2008/09,8-Oct,Northern,Whiteabbey,Type 2,"1,718.00",20,0,1738.00
2008/09,8-Oct,South Eastern,Ards MIU,Type 3,785,0,0,785.00
2008/09,8-Oct,South Eastern,Bangor MIU,Type 3,986,0,0,986.00
2008/09,8-Oct,South Eastern,Downe,Type 2,"1,827.00",97,0,1924.00
2008/09,8-Oct,South Eastern,Lagan Valley,Type 2,"2,624.00",94,0,2718.00
2008/09,8-Oct,South Eastern,Ulster,Type 1,"5,089.00",896,38,6023.00
2008/09,8-Oct,Southern,Armagh Community,Type 3,696,0,0,696.00
2008/09,8-Oct,Southern,Craigavon Area,Type 1,"5,335.00",361,0,5696.00
2008/09,8-Oct,Southern,Daisy Hill,Type 1,"2,605.00",101,0,2706.00
2008/09,8-Oct,Southern,South Tyrone,Type 3,"1,152.00",0,0,1152.00
2008/09,8-Oct,Western,Altnagelvin Area,Type 1,"3,653.00",435,0,4088.00
2008/09,8-Oct,Western,South West Acute,Type 1,"1,871.00",59,0,1930.00
2008/09,8-Oct,Western,Tyrone County,Type 2,"1,668.00",2,0,1670.00
2008/09,8-Nov,Belfast,Belfast City,Type 1,"2,888.00",838,5,3731.00
2008/09,8-Nov,Belfast,Mater,Type 1,"2,563.00",715,0,3278.00
2008/09,8-Nov,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,527.00","1,021.00",1,5549.00
2008/09,8-Nov,Belfast,RBHSC,Type 1,"2,342.00",15,0,2357.00
2008/09,8-Nov,Northern,Antrim Area,Type 1,"4,095.00","1,056.00",19,5170.00
2008/09,8-Nov,Northern,Causeway,Type 1,"2,841.00",287,1,3129.00
2008/09,8-Nov,Northern,Mid-Ulster,Type 2,"1,391.00",53,0,1444.00
2008/09,8-Nov,Northern,Whiteabbey,Type 2,"1,647.00",43,0,1690.00
2008/09,8-Nov,South Eastern,Ards MIU,Type 3,758,0,0,758.00
2008/09,8-Nov,South Eastern,Bangor MIU,Type 3,863,0,0,863.00
2008/09,8-Nov,South Eastern,Downe,Type 2,"1,736.00",74,0,1810.00
2008/09,8-Nov,South Eastern,Lagan Valley,Type 2,"2,524.00",77,0,2601.00
2008/09,8-Nov,South Eastern,Ulster,Type 1,"4,703.00","1,139.00",95,5937.00
2008/09,8-Nov,Southern,Armagh Community,Type 3,613,0,0,613.00
2008/09,8-Nov,Southern,Craigavon Area,Type 1,"5,254.00",427,0,5681.00
2008/09,8-Nov,Southern,Daisy Hill,Type 1,"2,420.00",75,0,2495.00
2008/09,8-Nov,Southern,South Tyrone,Type 3,"1,109.00",0,0,1109.00
2008/09,8-Nov,Western,Altnagelvin Area,Type 1,"3,564.00",657,1,4222.00
2008/09,8-Nov,Western,South West Acute,Type 1,"1,826.00",79,0,1905.00
2008/09,8-Nov,Western,Tyrone County,Type 2,"1,628.00",8,0,1636.00
2008/09,8-Dec,Belfast,Belfast City,Type 1,"2,808.00",942,33,3783.00
2008/09,8-Dec,Belfast,Mater,Type 1,"2,568.00",835,2,3405.00
2008/09,8-Dec,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,020.00","1,459.00",8,5487.00
2008/09,8-Dec,Belfast,RBHSC,Type 1,"2,364.00",743,0,3107.00
2008/09,8-Dec,Northern,Antrim Area,Type 1,"3,976.00","1,460.00",78,5514.00
2008/09,8-Dec,Northern,Causeway,Type 1,"2,834.00",375,1,3210.00
2008/09,8-Dec,Northern,Mid-Ulster,Type 2,"1,325.00",52,0,1377.00
2008/09,8-Dec,Northern,Whiteabbey,Type 2,"1,773.00",48,0,1821.00
2008/09,8-Dec,South Eastern,Ards MIU,Type 3,680,0,0,680.00
2008/09,8-Dec,South Eastern,Bangor MIU,Type 3,715,0,0,715.00
2008/09,8-Dec,South Eastern,Downe,Type 2,"1,706.00",120,0,1826.00
2008/09,8-Dec,South Eastern,Lagan Valley,Type 2,"2,500.00",193,2,2695.00
2008/09,8-Dec,South Eastern,Ulster,Type 1,"4,528.00","1,434.00",126,6088.00
2008/09,8-Dec,Southern,Armagh Community,Type 3,564,0,0,564.00
2008/09,8-Dec,Southern,Craigavon Area,Type 1,"5,061.00",864,0,5925.00
2008/09,8-Dec,Southern,Daisy Hill,Type 1,"2,541.00",107,0,2648.00
2008/09,8-Dec,Southern,South Tyrone,Type 3,903,0,0,903.00
2008/09,8-Dec,Western,Altnagelvin Area,Type 1,"3,374.00",766,2,4142.00
2008/09,8-Dec,Western,South West Acute,Type 1,"1,795.00",102,0,1897.00
2008/09,8-Dec,Western,Tyrone County,Type 2,"1,610.00",14,1,1625.00
2008/09,9-Jan,Belfast,Belfast City,Type 1,"2,443.00",882,50,3375.00
2008/09,9-Jan,Belfast,Mater,Type 1,"2,372.00",619,107,3098.00
2008/09,9-Jan,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,067.00","1,252.00",174,5493.00
2008/09,9-Jan,Belfast,RBHSC,Type 1,"1,906.00",386,2,2294.00
2008/09,9-Jan,Northern,Antrim Area,Type 1,"3,718.00","1,191.00",125,5034.00
2008/09,9-Jan,Northern,Causeway,Type 1,"2,491.00",403,52,2946.00
2008/09,9-Jan,Northern,Mid-Ulster,Type 2,"1,274.00",77,0,1351.00
2008/09,9-Jan,Northern,Whiteabbey,Type 2,"1,570.00",22,0,1592.00
2008/09,9-Jan,South Eastern,Ards MIU,Type 3,625,0,0,625.00
2008/09,9-Jan,South Eastern,Bangor MIU,Type 3,792,0,0,792.00
2008/09,9-Jan,South Eastern,Downe,Type 2,"1,685.00",198,5,1888.00
2008/09,9-Jan,South Eastern,Lagan Valley,Type 2,"2,270.00",124,1,2395.00
2008/09,9-Jan,South Eastern,Ulster,Type 1,"4,151.00","1,116.00",217,5484.00
2008/09,9-Jan,Southern,Armagh Community,Type 3,584,0,0,584.00
2008/09,9-Jan,Southern,Craigavon Area,Type 1,"4,848.00",678,1,5527.00
2008/09,9-Jan,Southern,Daisy Hill,Type 1,"2,392.00",67,0,2459.00
2008/09,9-Jan,Southern,South Tyrone,Type 3,"1,014.00",0,0,1014.00
2008/09,9-Jan,Western,Altnagelvin Area,Type 1,"3,359.00",657,0,4016.00
2008/09,9-Jan,Western,South West Acute,Type 1,"1,622.00",140,0,1762.00
2008/09,9-Jan,Western,Tyrone County,Type 2,"1,562.00",22,0,1584.00
2008/09,9-Feb,Belfast,Belfast City,Type 1,"2,393.00",994,66,3453.00
2008/09,9-Feb,Belfast,Mater,Type 1,"2,272.00",719,76,3067.00
2008/09,9-Feb,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"3,970.00","1,387.00",74,5431.00
2008/09,9-Feb,Belfast,RBHSC,Type 1,"2,007.00",460,0,2467.00
2008/09,9-Feb,Northern,Antrim Area,Type 1,"3,561.00","1,214.00",100,4875.00
2008/09,9-Feb,Northern,Causeway,Type 1,"2,561.00",399,25,2985.00
2008/09,9-Feb,Northern,Mid-Ulster,Type 2,"1,331.00",61,0,1392.00
2008/09,9-Feb,Northern,Whiteabbey,Type 2,"1,556.00",24,0,1580.00
2008/09,9-Feb,South Eastern,Ards MIU,Type 3,686,0,0,686.00
2008/09,9-Feb,South Eastern,Bangor MIU,Type 3,772,0,0,772.00
2008/09,9-Feb,South Eastern,Downe,Type 2,"1,495.00",172,2,1669.00
2008/09,9-Feb,South Eastern,Lagan Valley,Type 2,"2,352.00",150,3,2505.00
2008/09,9-Feb,South Eastern,Ulster,Type 1,"4,404.00",935,112,5451.00
2008/09,9-Feb,Southern,Armagh Community,Type 3,582,0,0,582.00
2008/09,9-Feb,Southern,Craigavon Area,Type 1,"4,854.00",523,0,5377.00
2008/09,9-Feb,Southern,Daisy Hill,Type 1,"2,370.00",73,0,2443.00
2008/09,9-Feb,Southern,South Tyrone,Type 3,"1,086.00",0,0,1086.00
2008/09,9-Feb,Western,Altnagelvin Area,Type 1,"3,290.00",697,3,3990.00
2008/09,9-Feb,Western,South West Acute,Type 1,"1,563.00",152,0,1715.00
2008/09,9-Feb,Western,Tyrone County,Type 2,"1,350.00",13,0,1363.00
2008/09,9-Mar,Belfast,Belfast City,Type 1,"2,776.00","1,114.00",160,4050.00
2008/09,9-Mar,Belfast,Mater,Type 1,"2,646.00",898,54,3598.00
2008/09,9-Mar,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,425.00","1,580.00",77,6082.00
2008/09,9-Mar,Belfast,RBHSC,Type 1,"2,328.00",739,2,3069.00
2008/09,9-Mar,Northern,Antrim Area,Type 1,"4,131.00","1,548.00",79,5758.00
2008/09,9-Mar,Northern,Causeway,Type 1,"2,889.00",616,15,3520.00
2008/09,9-Mar,Northern,Mid-Ulster,Type 2,"1,502.00",40,0,1542.00
2008/09,9-Mar,Northern,Whiteabbey,Type 2,"1,835.00",17,0,1852.00
2008/09,9-Mar,South Eastern,Ards MIU,Type 3,873,0,0,873.00
2008/09,9-Mar,South Eastern,Bangor MIU,Type 3,965,0,0,965.00
2008/09,9-Mar,South Eastern,Downe,Type 2,"1,943.00",107,0,2050.00
2008/09,9-Mar,South Eastern,Lagan Valley,Type 2,"2,597.00",229,50,2876.00
2008/09,9-Mar,South Eastern,Ulster,Type 1,"5,300.00","1,026.00",176,6502.00
2008/09,9-Mar,Southern,Armagh Community,Type 3,745,0,0,745.00
2008/09,9-Mar,Southern,Craigavon Area,Type 1,"5,892.00",509,0,6401.00
2008/09,9-Mar,Southern,Daisy Hill,Type 1,"2,948.00",52,0,3000.00
2008/09,9-Mar,Southern,South Tyrone,Type 3,"1,347.00",0,0,1347.00
2008/09,9-Mar,Western,Altnagelvin Area,Type 1,"3,775.00","1,010.00",7,4792.00
2008/09,9-Mar,Western,South West Acute,Type 1,"2,001.00",271,3,2275.00
2008/09,9-Mar,Western,Tyrone County,Type 3,"1,042.00",3,0,1045.00
2009/10,9-Apr,Belfast,Belfast City,Type 1,"2,660.00","1,159.00",5,3824.00
2009/10,9-Apr,Belfast,Mater,Type 1,"2,502.00",828,35,3365.00
2009/10,9-Apr,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,542.00","1,622.00",47,6211.00
2009/10,9-Apr,Belfast,RBHSC,Type 1,"2,178.00",704,1,2883.00
2009/10,9-Apr,Northern,Antrim Area,Type 1,"4,223.00","1,111.00",17,5351.00
2009/10,9-Apr,Northern,Causeway,Type 1,"3,041.00",494,1,3536.00
2009/10,9-Apr,Northern,Mid-Ulster,Type 2,"1,521.00",30,0,1551.00
2009/10,9-Apr,Northern,Whiteabbey,Type 2,"1,619.00",20,0,1639.00
2009/10,9-Apr,South Eastern,Ards MIU,Type 3,832,0,0,832.00
2009/10,9-Apr,South Eastern,Bangor MIU,Type 3,877,0,0,877.00
2009/10,9-Apr,South Eastern,Downe,Type 2,"1,967.00",137,2,2106.00
2009/10,9-Apr,South Eastern,Lagan Valley,Type 2,"2,458.00",301,30,2789.00
2009/10,9-Apr,South Eastern,Ulster,Type 1,"4,809.00","1,203.00",163,6175.00
2009/10,9-Apr,Southern,Armagh Community,Type 3,652,0,0,652.00
2009/10,9-Apr,Southern,Craigavon Area,Type 1,"5,582.00",567,1,6150.00
2009/10,9-Apr,Southern,Daisy Hill,Type 1,"2,740.00",275,0,3015.00
2009/10,9-Apr,Southern,South Tyrone,Type 3,"1,393.00",0,0,1393.00
2009/10,9-Apr,Western,Altnagelvin Area,Type 1,"3,608.00",963,7,4578.00
2009/10,9-Apr,Western,South West Acute,Type 1,"2,173.00",143,0,2316.00
2009/10,9-Apr,Western,Tyrone County,Type 3,"1,115.00",1,0,1116.00
2009/10,9-May,Belfast,Belfast City,Type 1,"2,826.00","1,068.00",0,3894.00
2009/10,9-May,Belfast,Mater,Type 1,"2,900.00",582,15,3497.00
2009/10,9-May,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,050.00","1,585.00",13,5648.00
2009/10,9-May,Belfast,RBHSC,Type 1,"2,357.00",466,0,2823.00
2009/10,9-May,Northern,Antrim Area,Type 1,"4,627.00","1,136.00",0,5763.00
2009/10,9-May,Northern,Causeway,Type 1,"3,172.00",429,1,3602.00
2009/10,9-May,Northern,Mid-Ulster,Type 2,"1,607.00",39,0,1646.00
2009/10,9-May,Northern,Whiteabbey,Type 2,"1,784.00",29,0,1813.00
2009/10,9-May,South Eastern,Ards MIU,Type 3,847,0,0,847.00
2009/10,9-May,South Eastern,Bangor MIU,Type 3,944,0,0,944.00
2009/10,9-May,South Eastern,Downe,Type 2,"2,026.00",85,0,2111.00
2009/10,9-May,South Eastern,Lagan Valley,Type 2,"2,550.00",232,5,2787.00
2009/10,9-May,South Eastern,Ulster,Type 1,"4,963.00","1,154.00",127,6244.00
2009/10,9-May,Southern,Armagh Community,Type 3,740,0,0,740.00
2009/10,9-May,Southern,Craigavon Area,Type 1,"5,671.00",606,2,6279.00
2009/10,9-May,Southern,Daisy Hill,Type 1,"2,748.00",162,0,2910.00
2009/10,9-May,Southern,South Tyrone,Type 3,"1,419.00",0,0,1419.00
2009/10,9-May,Western,Altnagelvin Area,Type 1,"3,615.00","1,009.00",4,4628.00
2009/10,9-May,Western,South West Acute,Type 1,"2,105.00",225,2,2332.00
2009/10,9-May,Western,Tyrone County,Type 3,"1,137.00",8,0,1145.00
2009/10,9-Jun,Belfast,Belfast City,Type 1,"3,031.00",710,5,3746.00
2009/10,9-Jun,Belfast,Mater,Type 1,"2,964.00",553,3,3520.00
2009/10,9-Jun,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,013.00","1,185.00",6,5204.00
2009/10,9-Jun,Belfast,RBHSC,Type 1,"2,161.00",250,0,2411.00
2009/10,9-Jun,Northern,Antrim Area,Type 1,"4,640.00",982,1,5623.00
2009/10,9-Jun,Northern,Causeway,Type 1,"3,256.00",329,0,3585.00
2009/10,9-Jun,Northern,Mid-Ulster,Type 2,"1,686.00",38,0,1724.00
2009/10,9-Jun,Northern,Whiteabbey,Type 2,"1,767.00",14,0,1781.00
2009/10,9-Jun,South Eastern,Ards MIU,Type 3,969,0,0,969.00
2009/10,9-Jun,South Eastern,Bangor MIU,Type 3,"1,080.00",0,0,1080.00
2009/10,9-Jun,South Eastern,Downe,Type 2,"2,083.00",96,0,2179.00
2009/10,9-Jun,South Eastern,Lagan Valley,Type 2,"2,775.00",170,1,2946.00
2009/10,9-Jun,South Eastern,Ulster,Type 1,"5,290.00",988,9,6287.00
2009/10,9-Jun,Southern,Armagh Community,Type 3,766,0,0,766.00
2009/10,9-Jun,Southern,Craigavon Area,Type 1,"5,969.00",266,0,6235.00
2009/10,9-Jun,Southern,Daisy Hill,Type 1,"2,924.00",186,0,3110.00
2009/10,9-Jun,Southern,South Tyrone,Type 3,"1,575.00",0,0,1575.00
2009/10,9-Jun,Western,Altnagelvin Area,Type 1,"3,865.00",988,6,4859.00
2009/10,9-Jun,Western,South West Acute,Type 1,"2,310.00",186,0,2496.00
2009/10,9-Jun,Western,Tyrone County,Type 3,"1,254.00",0,0,1254.00
2009/10,9-Jul,Belfast,Belfast City,Type 1,"3,049.00",491,0,3540.00
2009/10,9-Jul,Belfast,Mater,Type 1,"2,757.00",540,0,3297.00
2009/10,9-Jul,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,136.00","1,196.00",1,5333.00
2009/10,9-Jul,Belfast,RBHSC,Type 1,"2,119.00",176,0,2295.00
2009/10,9-Jul,Northern,Antrim Area,Type 1,"4,440.00","1,058.00",0,5498.00
2009/10,9-Jul,Northern,Causeway,Type 1,"3,449.00",462,0,3911.00
2009/10,9-Jul,Northern,Mid-Ulster,Type 2,"1,575.00",22,0,1597.00
2009/10,9-Jul,Northern,Whiteabbey,Type 2,"1,641.00",11,0,1652.00
2009/10,9-Jul,South Eastern,Ards MIU,Type 3,841,0,0,841.00
2009/10,9-Jul,South Eastern,Bangor MIU,Type 3,970,0,0,970.00
2009/10,9-Jul,South Eastern,Downe,Type 2,"1,957.00",134,0,2091.00
2009/10,9-Jul,South Eastern,Lagan Valley,Type 2,"2,622.00",138,1,2761.00
2009/10,9-Jul,South Eastern,Ulster,Type 1,"4,986.00",981,20,5987.00
2009/10,9-Jul,Southern,Armagh Community,Type 3,664,1,0,665.00
2009/10,9-Jul,Southern,Craigavon Area,Type 1,"5,584.00",262,0,5846.00
2009/10,9-Jul,Southern,Daisy Hill,Type 1,"2,705.00",196,0,2901.00
2009/10,9-Jul,Southern,South Tyrone,Type 3,"1,346.00",0,0,1346.00
2009/10,9-Jul,Western,Altnagelvin Area,Type 1,"3,839.00",724,1,4564.00
2009/10,9-Jul,Western,South West Acute,Type 1,"2,203.00",110,0,2313.00
2009/10,9-Jul,Western,Tyrone County,Type 3,"1,095.00",2,0,1097.00
2009/10,9-Aug,Belfast,Belfast City,Type 1,"2,540.00",748,0,3288.00
2009/10,9-Aug,Belfast,Mater,Type 1,"2,693.00",676,4,3373.00
2009/10,9-Aug,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,195.00",766,0,4961.00
2009/10,9-Aug,Belfast,RBHSC,Type 1,"1,863.00",130,0,1993.00
2009/10,9-Aug,Northern,Antrim Area,Type 1,"4,073.00","1,110.00",0,5183.00
2009/10,9-Aug,Northern,Causeway,Type 1,"3,350.00",420,0,3770.00
2009/10,9-Aug,Northern,Mid-Ulster,Type 2,"1,471.00",20,0,1491.00
2009/10,9-Aug,Northern,Whiteabbey,Type 2,"1,652.00",14,0,1666.00
2009/10,9-Aug,South Eastern,Ards MIU,Type 3,821,0,0,821.00
2009/10,9-Aug,South Eastern,Bangor MIU,Type 3,958,0,0,958.00
2009/10,9-Aug,South Eastern,Downe,Type 2,"1,969.00",138,0,2107.00
2009/10,9-Aug,South Eastern,Lagan Valley,Type 2,"2,397.00",194,0,2591.00
2009/10,9-Aug,South Eastern,Ulster,Type 1,"4,938.00","1,029.00",14,5981.00
2009/10,9-Aug,Southern,Armagh Community,Type 3,620,0,0,620.00
2009/10,9-Aug,Southern,Craigavon Area,Type 1,"5,535.00",363,0,5898.00
2009/10,9-Aug,Southern,Daisy Hill,Type 1,"2,703.00",73,0,2776.00
2009/10,9-Aug,Southern,South Tyrone,Type 3,"1,325.00",0,0,1325.00
2009/10,9-Aug,Western,Altnagelvin Area,Type 1,"3,553.00","1,013.00",2,4568.00
2009/10,9-Aug,Western,South West Acute,Type 1,"2,204.00",143,0,2347.00
2009/10,9-Aug,Western,Tyrone County,Type 3,986,1,0,987.00
2009/10,9-Sep,Belfast,Belfast City,Type 1,"2,466.00","1,019.00",14,3499.00
2009/10,9-Sep,Belfast,Mater,Type 1,"2,675.00",581,3,3259.00
2009/10,9-Sep,Belfast,Royal Victoria & Royal Victoria (ENT & RAES),Type 1,"4,977.00",921,0,5898.00
2009/10,9-Sep,Belfast,RBHSC,Type 1,"2,154.00",329,0,2483.00
2009/10,9-Sep,Northern,Antrim Area,Type 1,"4,456.00","1,163.00",0,5619.00
2009/10,9-Sep,Northern,Causeway,Type 1,"3,053.00",272,0,3325.00
2009/10,9-Sep,Northern,Mid-Ulster,Type 2,"1,457.00",58,0,1515.00
2009/10,9-Sep,Northern,Whiteabbey,Type 2,"1,624.00",20,0,1644.00
2009/10,9-Sep,South Eastern,Ards MIU,Type 3,829,0,0,829.00
2009/10,9-Sep,South Eastern,Bangor MIU,Type 3,"1,103.00",0,0,1103.00
2009/10,9-Sep,South Eastern,Downe,Type 2,"1,890.00",65,0,1955.00
2009/10,9-Sep,South Eastern,Lagan Valley,Type 2,"2,416.00",294,3,2713.00
2009/10,9-Sep,South Eastern,Ulster,Type 1,"5,017.00","1,049.00",20,6086.00
2009/10,9-Sep,Southern,Armagh Community,Type 3,660,0,0,660.00
2009/10,9-Sep,Southern,Craigavon Area,Type 1,"5,568.00",440,0,6008.00
