Year,MthAndYrCode,Trust,New_Hospital,Type,FourAndUnder_sum,FiveToTwelve_sum,OverTwelve_sum,Total_sum
2017/18,17-Oct,Southern,Daisy Hill,Type 1,"3,513.00","1,071.00",94,4678.00
2017/18,17-Oct,Southern,South Tyrone,Type 3,"2,623.00",0,0,2623.00
2017/18,17-Oct,Western,Altnagelvin Area,Type 1,"3,584.00","1,625.00",39,5248.00
2017/18,17-Oct,Western,South West Acute,Type 1,"2,208.00",619,7,2834.00
2017/18,17-Oct,Western,Tyrone County,Type 3,"1,256.00",2,0,1258.00
2017/18,17-Nov,Belfast,Mater,Type 1,"2,994.00",793,50,3837.00
2017/18,17-Nov,Belfast,Royal Victoria,Type 1,"5,567.00","2,218.00",81,7866.00
2017/18,17-Nov,Belfast,RBHSC,Type 1,"2,877.00",940,0,3817.00
2017/18,17-Nov,Belfast,Royal Victoria (RAES),Type 2,"1,210.00",186,0,1396.00
2017/18,17-Nov,Northern,Antrim Area,Type 1,"4,200.00","2,626.00",257,7083.00
2017/18,17-Nov,Northern,Causeway,Type 1,"2,330.00","1,047.00",44,3421.00
2017/18,17-Nov,Northern,Mid-Ulster,Type 3,827,0,0,827.00
2017/18,17-Nov,South Eastern,Ards MIU,Type 3,987,0,0,987.00
2017/18,17-Nov,South Eastern,Bangor MIU,Type 3,807,0,0,807.00
2017/18,17-Nov,South Eastern,Downe,Type 2,"1,601.00",150,17,1768.00
2017/18,17-Nov,South Eastern,Lagan Valley,Type 2,"1,808.00",246,1,2055.00
2017/18,17-Nov,South Eastern,Ulster,Type 1,"5,161.00","2,457.00",403,8021.00
2017/18,17-Nov,Southern,Craigavon Area,Type 1,"4,681.00","2,450.00",175,7306.00
2017/18,17-Nov,Southern,Daisy Hill,Type 1,"3,194.00","1,149.00",137,4480.00
2017/18,17-Nov,Southern,South Tyrone,Type 3,"2,349.00",0,0,2349.00
2017/18,17-Nov,Western,Altnagelvin Area,Type 1,"3,860.00","1,361.00",17,5238.00
2017/18,17-Nov,Western,South West Acute,Type 1,"2,276.00",422,8,2706.00
2017/18,17-Nov,Western,Tyrone County,Type 3,"1,196.00",1,0,1197.00
2017/18,17-Dec,Belfast,Mater,Type 1,"2,989.00","1,013.00",129,4131.00
